SN,MTM,Lenovo SO,Lenovo SO create date (yyyy-mm-dd),Partner SO/RMA number,Product group,Future unit location,Estimated cost(POP price),Refund reason
HB0L06B8,PA1N0038UA,7024548959,2016-12-12,73562,MBG Phone,Minsk,,Parts Shortage
HB0L7V0Z,PA1N0038UA,7024548971,2016-12-12,73572,MBG Phone,Minsk,,Parts Shortage
HB0N857T,PA340022UA,7024581285,2016-12-13,73691,MBG Phone,Minsk,,Parts Shortage
HB0SCSN4,PA340059UA,7024581291,2016-12-13,73726,MBG Phone,Minsk,,Parts Shortage
HB0N8VZ9,PA340059UA,7024581301,2016-12-13,73743,MBG Phone,Minsk,,Parts Shortage
HZC2KCJV,PA1G0000UA,7024581309,2016-12-13,73776,MBG Phone,Minsk,,Parts Shortage
HZC690GJ,PA2M0026UA,7024581284,2016-12-14,73808,MBG Phone,Minsk,,Parts Shortage
HB0NZVHY,PA340059UA,7024581288,2016-12-14,73814,MBG Phone,Minsk,,Parts Shortage
HGEQ0F59,PA1N0003UA,7024581299,2016-12-14,73835,MBG Phone,Minsk,,Parts Shortage
HZC4SCH8,PA2M0026UA,7024581283,2016-12-14,73891,MBG Phone,Minsk,,Parts Shortage
HB0GS1KQ,PA1N0003UA,7024581297,2016-12-15,73915,MBG Phone,Minsk,,Parts Shortage
HA0J83XV,PA1R0019UA,7024581308,2016-12-15,73975,MBG Phone,Minsk,,Parts Shortage
HB0LVCVN,PA1R0024UA,7024581326,2016-12-15,73987,MBG Phone,Minsk,,Parts Shortage
HZC6D1M4,PA2M0026UA,7024581278,2016-12-15,73991,MBG Phone,Minsk,,Parts Shortage
HB0GSXRZ,PA1N0003UA,7024581293,2016-12-16,74036,MBG Phone,Minsk,,Parts Shortage
HZC68ZNU,PA2M0026UA,7024581324,2016-12-16,74062,MBG Phone,Minsk,,Parts Shortage
