SN,MTM,Lenovo SO,Lenovo SO create date (yyyy-mm-dd),Partner SO/RMA number,Product group,Future unit location,Estimated cost(POP price),Refund reason
HGENRG9S,PA2W0041UA,7024604953,2016-12-19,74124,MBG Phone,Minsk,,Parts Shortage
HZC690HC,PA2M0026UA,7024604966,2016-12-19,74144,MBG Phone,Minsk,,Parts Shortage
HB07ZAEU,PA2M0026UA,7024604972,2016-12-19,74159,MBG Phone,Minsk,,Parts Shortage
HZC69021,PA2M0026UA,7024593914,2016-12-19,74172,MBG Phone,Minsk,,Parts Shortage
HB0P66JR,PA2M0026UA,7024604975,2016-12-19,74174,MBG Phone,Minsk,,Parts Shortage
HB0NZJ63,PA340059UA,7024604979,2016-12-20,74196,MBG Phone,Minsk,,Parts Shortage
HB0L291J,PA2W0043UA,7024613481,2016-12-20,74199,MBG Phone,Minsk,,Parts Shortage
HZC351NA,PA2R0024UA,7024604806,2016-12-20,74236,MBG Phone,Minsk,,Parts Shortage
HB0NWWET,PA2R0024UA,7024613441,2016-12-21,74371,MBG Phone,Minsk,,Parts Shortage
HZC4SCMK,PA2M0026UA,7024629096,2016-12-21,74395,MBG Phone,Minsk,,Parts Shortage
HGB3FXW1,PA220001UA,7024629098,2016-12-21,74396,MBG Phone,Minsk,,Parts Shortage
HGEQ0GNJ,PA1N0003UA,7024621409,2016-12-22,74420,MBG Phone,Minsk,,Parts Shortage
HGEQ1ZQS,PA1N0003UA,7024621410,2016-12-22,74444,MBG Phone,Minsk,,Parts Shortage
HB0S1JNE,PA2C0051UA,7024621413,2016-12-22,74454,MBG Phone,Minsk,,Parts Shortage
HB0N917A,PA340059UA,7024621429,2016-12-22,74462,MBG Phone,Minsk,,Parts Shortage
HB0NZT7X,PA340059UA,7024629101,2016-12-22,74474,MBG Phone,Minsk,,Parts Shortage
HGEN43NZ,PA2W0043UA,7024629064,2016-12-23,74515,MBG Phone,Minsk,,Parts Shortage
HB0NZF89,PA340059UA,7024629080,2016-12-23,74525,MBG Phone,Minsk,,Parts Shortage
HB0N9WQV,PA340059UA,7024629084,2016-12-23,74536,MBG Phone,Minsk,,Parts Shortage
HB0RZZC4,PA1R0019UA,7024629035,2016-12-23,74541,MBG Phone,Minsk,,Parts Shortage
HZC68ZD9,PA2R0024UA,7024629054,2016-12-23,74579,MBG Phone,Minsk,,Parts Shortage
HA0MTJXW,PA4R0009UA,7024647438,2016-12-23,74581,MBG Phone,Minsk,,Parts Shortage
