SN,MTM,Lenovo SO,Lenovo SO create date (yyyy-mm-dd),Partner SO/RMA number,Product group,Future unit location,Estimated cost(POP price),Refund reason
HGA7Z9D7,PA450113UA,7024653850,2016-12-26,74606,MBG Phone,Minsk,,Parts Shortage
HB0M5V0G,PA1N0003UA,7024633081,2016-12-26,74610,MBG Phone,Minsk,,Parts Shortage
HZC68ZZN,PA2M0026UA,7024633085,2016-12-26,74624,MBG Phone,Minsk,,Parts Shortage
HGEHFDRF,ZA0L0001UA,7024653854,2016-12-26,74651,MBG Phone,Minsk,,Parts Shortage
HA0N5KWD,PA4R0089UA,7024640357,2016-12-27,74686,MBG Phone,Minsk,,Parts Shortage
HB0NZFX1,PA340059UA,7024640368,2016-12-27,74693,MBG Phone,Minsk,,Parts Shortage
HKL1BHEL,PA1J0005UA,7024653857,2016-12-27,74701,MBG Phone,Minsk,,Parts Shortage
HB08LH7J,P0SB000CUA,7024654622,2016-12-27,74720,MBG Phone,Minsk,,Parts Shortage
HB0LNS49,PA2C0024UA,7024648413,2016-12-27,74734,MBG Phone,Minsk,,Parts Shortage
HB09F2DB,P0SB000CUA,7024670465,2016-12-27,75769,MBG Phone,Minsk,,Parts Shortage
