SN,MTM,Lenovo SO,Lenovo SO create date (yyyy-mm-dd),Partner SO/RMA number,Product group,Future unit location,Estimated cost(POP price),Refund reason
P0SG0018UA,P0SG0018UA,7024688005,2016-12-28,75802,MBG Phone,Minsk,,Parts Shortage
PA1N0003UA,PA1N0003UA,7024648414,2016-12-28,75818,MBG Phone,Minsk,,Parts Shortage
PA2M0026UA,PA2M0026UA,7024653861,2016-12-28,75822,MBG Phone,Minsk,,Parts Shortage
P0S6000JUA,P0S6000JUA,7024653824,2016-12-29,75865,MBG Phone,Minsk,,Parts Shortage
PA450113UA,PA450113UA,7024653825,2016-12-29,75874,MBG Phone,Minsk,,Parts Shortage
PA1K0027UA,PA1K0027UA,7024653831,2016-12-29,75877,MBG Phone,Minsk,,Parts Shortage
PA2M0007UA,PA2M0007UA,7024669298,2016-12-29,75904,MBG Phone,Minsk,,Parts Shortage
PA2W0041UA,PA2W0041UA,7024669299,2016-12-29,75912,MBG Phone,Minsk,,Parts Shortage
P0RQ001BUA,P0RQ001BUA,7024687948,2016-12-29,75913,MBG Phone,Minsk,,Parts Shortage
PA1N0038UA,PA1N0038UA,7024705368,2016-12-30,75942,MBG Phone,Minsk,,Parts Shortage
PA2M0026UA,PA2M0026UA,7024675718,2016-12-30,75953,MBG Phone,Minsk,,Parts Shortage
