SN,MTM,Lenovo SO,Lenovo SO create date (yyyy-mm-dd),Partner SO/RMA number,Product group,Future unit location,Estimated cost(POP price),Refund reason
HB0LVBS2,PA280012UA,7024747788,2017-01-13,76706,MBG Phone,Minsk,,Parts Shortage
HB0NVEEP,PA340022UA,7024740171,2017-01-16,76775,MBG Phone,Minsk,,Parts Shortage
HB0LUZJ8,PA1R0024UA,7024740176,2017-01-16,76778,MBG Phone,Minsk,,Parts Shortage
HB0LV9YJ,PA1R0024UA,7024740178,2017-01-16,76779,MBG Phone,Minsk,,Parts Shortage
HB0LCL79,PA1N0038UA,7024748545,2017-01-16,76793,MBG Phone,Minsk,,Parts Shortage
HB0GRZMW,PA1N0003UA,7024740170,2017-01-16,76797,MBG Phone,Minsk,,Parts Shortage
HB0NP9TF,PA2M0007UA,7024740179,2017-01-16,76858,MBG Phone,Minsk,,Parts Shortage
HB0P51EC,PA2M0026UA,7024740139,2017-01-16,76861,MBG Phone,Minsk,,Parts Shortage
HB0NZD8T,PA340059UA,7024750073,2017-01-17,76888,MBG Phone,Minsk,,Parts Shortage
HB0S1MLC,PA2C0051UA,7024748597,2017-01-17,76890,MBG Phone,Minsk,,Parts Shortage
HB0L683W,PA1N0038UA,7024750074,2017-01-17,76904,MBG Phone,Minsk,,Parts Shortage
HB0S1G28,PA2C0051UA,7024748622,2017-01-17,76910,MBG Phone,Minsk,,Parts Shortage
HGAC91ZK,ZA0K0025UA,7024750075,2017-01-17,76925,MBG Phone,Minsk,,Parts Shortage
HGEQ1ZKU,PA1N0038UA,7024750055,2017-01-17,76950,MBG Phone,Minsk,,Parts Shortage
HB0S1L6S,PA2C0051UA,7024748596,2017-01-17,76953,MBG Phone,Minsk,,Parts Shortage
HB0N98QU,PA340059UA,7024748614,2017-01-17,76962,MBG Phone,Minsk,,Parts Shortage
SD53DU292Q,PA4N0006UA,7024748620,2017-01-17,76974,MBG Phone,Minsk,,Parts Shortage
HA0J8PZS,PA1R0019UA,7024748627,2017-01-17,76982,MBG Phone,Minsk,,Parts Shortage
HA0M0X7G,PA1R0024UA,7024748628,2017-01-17,76984,MBG Phone,Minsk,,Parts Shortage
HB0NZNJT,PA340059UA,7024757083,2017-01-18,77001,MBG Phone,Minsk,,Parts Shortage
