SN,MTM,Lenovo SO,Lenovo SO create date (yyyy-mm-dd),Partner SO/RMA number,Product group,Future unit location,Estimated cost(POP price),Refund reason
HGEQ11RV,PA1N0038UA,7024705368,2016-12-30,75942,MBG Phone,Minsk,,Parts Shortage
HB07WV06,PA1N0004UA,7024705394,2017-01-06,76282,MBG Phone,Minsk,,Parts Shortage
HB0S1F9L,PA2C0051UA,7024696094,2017-01-09,76346,MBG Phone,Minsk,,Parts Shortage
HB0NZT9R,PA340059UA,7024696095,2017-01-09,76348,MBG Phone,Minsk,,Parts Shortage
HB0L9B2R,PA1N0004UA,7024705396,2017-01-09,76350,MBG Phone,Minsk,,Parts Shortage
HB0N8YPS,PA340059UA,7024705397,2017-01-09,76356,MBG Phone,Minsk,,Parts Shortage
HB0L031R,PA1N0038UA,7024706863,2017-01-09,76359,MBG Phone,Minsk,,Parts Shortage
HB0RWA0D,PA2C0024UA,7024705393,2017-01-09,76369,MBG Phone,Minsk,,Parts Shortage
HGENRG6E,PA2W0041UA,7024705398,2017-01-10,76411,MBG Phone,Minsk,,Parts Shortage
HGENRG8Y,PA2W0041UA,7024705399,2017-01-10,76413,MBG Phone,Minsk,,Parts Shortage
HZC699NU,PA2M0064UA,7024705392,2017-01-10,76414,MBG Phone,Minsk,,Parts Shortage
HB0L9MG6,PA1N0004UA,7024705406,2017-01-10,76454,MBG Phone,Minsk,,Parts Shortage
HB0NJZWS,PA2M0064UA,7024705402,2017-01-10,76501,MBG Phone,Minsk,,Parts Shortage
HB0L2GN9,PA200002UA,7024713131,2017-01-11,76578,MBG Phone,Minsk,,Parts Shortage
HB0LC6SJ,PA2C0024UA,7024729244,2017-01-12,76653,MBG Phone,Minsk,,Parts Shortage
SD53DU27JW,PA4N0006UA,7024729248,2017-01-12,76668,MBG Phone,Minsk,,Parts Shortage
