SN,MTM,Lenovo SO,Lenovo SO create date (yyyy-mm-dd),Partner SO/RMA number,Product group,Future unit location,Estimated cost(POP price),Refund reason
HGB37EQN,P0SB002VUA,7024825931,2017-01-31,7024825931,Smartphones,Georgia,,part shortage
HB09XLQ6,P0SB000CUA,7024825932,2017-01-31,7024825932,Smartphones,Georgia,,part shortage
HB09CXUH,P0SB000CUA,7024825936,2017-01-31,7024825936,Smartphones,Georgia,,part shortage
HB09WMLR,P0SB0026UA,7024826014,2017-01-31,7024826014,Smartphones,Georgia,,part shortage
HB09VMTV,P0SB0026UA,7024826250,2017-01-31,7024826250,Smartphones,Georgia,,part shortage
HB02BRV1,P0SB0026UA,7024826435,2017-01-31,7024826435,Smartphones,Georgia,,part shortage
HB0FHEPM,P0SB000CUA,7024826438,2017-01-31,7024826438,Smartphones,Georgia,,part shortage
HB08FPWP,P0SG000KUA,7024826687,2017-01-31,7024826687,Smartphones,Georgia,,part shortage
HB0FASR2,P0SG0018UA,7024826690,2017-01-31,7024826690,Smartphones,Georgia,,part shortage
HB0FMVW3,P0SG000KUA,7024826707,2017-01-31,7024826707,Smartphones,Georgia,,part shortage
HB050L64,P0SG000KUA,7024826772,2017-01-31,7024826772,Smartphones,Georgia,,part shortage
