SN,MTM,Lenovo SO,Lenovo SO create date (yyyy-mm-dd),Partner SO/RMA number,Product group,Future unit location,Estimated cost(POP price),Refund reason
HB0LVN6S,PA1R0024UA,7024628744,2016-12-25,7024628744,Smartphones,Georgia,,part shortage
HB0LD1H1,PA1R0024UA,7024656312,2016-12-30,7024656312,Smartphones,Georgia,,part shortage
HZC4RWGU,PA2M0064UA,7024630559,2016-12-26,7024630559,Smartphones,Georgia,,part shortage
HA0MNNAX,PA490122UA,7024583083,2016-12-18,7024583083,Smartphones,Georgia,,part shortage
HGENRWAN,PA2W0041UA,7024569052,2016-12-15,7024569052,Smartphones,Georgia,,part shortage
HMD0HEDB,PA300073UA,7024568123,2016-12-15,7024568123,Smartphones,Georgia,,part shortage
HGENRW6D,PA2W0041UA,7024568657,2016-12-15,7024568657,Smartphones,Georgia,,part shortage
HMD0HEML,PA300073UA,7024563645,2016-12-14,7024563645,Smartphones,Georgia,,part shortage
HMD0C9VA,PA300073UA,7024563643,2016-12-14,7024563643,Smartphones,Georgia,,part shortage
HZC4SCRA,PA2M0026UA,7024562761,2016-12-14,7024562761,Smartphones,Georgia,,part shortage
