SN,MTM,Lenovo SO,Lenovo SO create date (yyyy-mm-dd),Partner SO/RMA number,Product group,Future unit location,Estimated cost(POP price),Refund reason
HB0LQ3XR,PA280012UA,7024321544,2016-11-02,RMA-01204270,MBG Phone,ASP Stock,,Part shortage
hgabsfv0,ZA0K0025UA,7024480152,2016-12-02,RMA-01211047,MBG Tablet,ASP Stock,,Part shortage
MP0867BM,80MJ0041UA,7024542207,2016-12-13,RMA-01212920,Lenovo - former Idea - notebooks,ASP Stock,,Part shortage
PF0C1EZU,80QQ004NUA,7024331741,2016-11-04,RMA-01204765,Lenovo - former Idea - notebooks,ASP Stock,,Part shortage
pf0cdll4,80QQ004JUA,7024489975,2016-12-05,RMA-01211060,Lenovo - former Idea - notebooks,ASP Stock,,Part shortage
mp085lhs,80MJ003XUA,7024543579,2016-12-13,RMA-01213125,Lenovo - former Idea - notebooks,ASP Stock,,Part shortage
HB0GYF7Z,PA1N0004UA,7024542585,2016-12-13,RMA-01212913,MBG Phone,ASP Stock,,Part shortage
HB0LC6RL,PA2C0024UA,7024542765,2016-12-13,RMA-01212923,MBG Phone,ASP Stock,,Part shortage
HB0S25Y4,PA1R0024UA,7024545515,2016-12-14,RMA-01213437,MBG Phone,ASP Stock,,Part shortage
HA0J8TNX,PA1R0019UA,7024545517,2016-12-14,RMA-01213438,MBG Phone,ASP Stock,,Part shortage
HB0LC2DA,PA2C0024UA,7024545519,2016-12-14,RMA-01213440,MBG Phone,ASP Stock,,Part shortage
